34.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
21:30:12.055 (55406882)|EXECUTION_STARTED
21:30:12.055 (55419943)|CODE_UNIT_STARTED|[EXTERNAL]|execute_anonymous_apex
21:30:12.057 (57042016)|METHOD_ENTRY|[1]|01p61000006ZOEc|CurrencyBot.CurrencyBot()
21:30:12.057 (57262397)|METHOD_EXIT|[1]|CurrencyBot
21:30:12.057 (57383255)|CONSTRUCTOR_ENTRY|[25]|01p61000006ZOEc|<init>()
21:30:12.059 (59116741)|METHOD_ENTRY|[1]|01p61000006ZOEm|DataBot.DataBot()
21:30:12.059 (59143022)|METHOD_EXIT|[1]|DataBot
21:30:12.059 (59175043)|METHOD_ENTRY|[8]|01p61000006ZOEm|DataBot.getTuplesForType(Schema.DisplayType)
21:30:12.212 (212999615)|METHOD_ENTRY|[1]|01p61000006ZOEr|DataBotObjectFieldTuple.DataBotObjectFieldTuple()
21:30:12.213 (213054539)|METHOD_EXIT|[1]|DataBotObjectFieldTuple
21:30:12.213 (213127111)|CONSTRUCTOR_ENTRY|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:30:12.213 (213668597)|CONSTRUCTOR_EXIT|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:30:12.247 (247533993)|CONSTRUCTOR_ENTRY|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:30:12.247 (247893302)|CONSTRUCTOR_EXIT|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:30:12.249 (249540069)|CONSTRUCTOR_ENTRY|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:30:12.249 (249861319)|CONSTRUCTOR_EXIT|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:30:12.374 (374319974)|CONSTRUCTOR_ENTRY|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:30:12.374 (374747316)|CONSTRUCTOR_EXIT|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:30:12.375 (375249611)|CONSTRUCTOR_ENTRY|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:30:12.375 (375599197)|CONSTRUCTOR_EXIT|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:30:12.376 (376371251)|CONSTRUCTOR_ENTRY|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:30:12.376 (376688483)|CONSTRUCTOR_EXIT|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:30:12.380 (380121872)|CONSTRUCTOR_ENTRY|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:30:12.380 (380443993)|CONSTRUCTOR_EXIT|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:30:12.380 (380876048)|CONSTRUCTOR_ENTRY|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:30:12.381 (381204328)|CONSTRUCTOR_EXIT|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:30:12.383 (383409201)|CONSTRUCTOR_ENTRY|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:30:12.383 (383742831)|CONSTRUCTOR_EXIT|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:30:12.384 (384211456)|CONSTRUCTOR_ENTRY|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:30:12.384 (384550391)|CONSTRUCTOR_EXIT|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:30:12.385 (385273863)|CONSTRUCTOR_ENTRY|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:30:12.385 (385584585)|CONSTRUCTOR_EXIT|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:30:12.386 (386028302)|CONSTRUCTOR_ENTRY|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:30:12.386 (386347943)|CONSTRUCTOR_EXIT|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:30:12.386 (386787602)|CONSTRUCTOR_ENTRY|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:30:12.387 (387101211)|CONSTRUCTOR_EXIT|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:30:12.424 (424192766)|CONSTRUCTOR_ENTRY|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:30:12.424 (424565423)|CONSTRUCTOR_EXIT|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:30:12.503 (503652120)|CONSTRUCTOR_ENTRY|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:30:12.504 (504014180)|CONSTRUCTOR_EXIT|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:30:12.533 (533515928)|CONSTRUCTOR_ENTRY|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:30:12.533 (533875838)|CONSTRUCTOR_EXIT|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:30:12.534 (534674758)|CONSTRUCTOR_ENTRY|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:30:12.534 (534989476)|CONSTRUCTOR_EXIT|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:30:12.564 (564947357)|CONSTRUCTOR_ENTRY|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:30:12.565 (565327886)|CONSTRUCTOR_EXIT|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:30:12.565 (565772501)|CONSTRUCTOR_ENTRY|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:30:12.566 (566093424)|CONSTRUCTOR_EXIT|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:30:12.573 (573166398)|CONSTRUCTOR_ENTRY|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:30:12.573 (573499602)|CONSTRUCTOR_EXIT|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:30:12.573 (573995822)|CONSTRUCTOR_ENTRY|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:30:12.574 (574323593)|CONSTRUCTOR_EXIT|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:30:12.574 (574791684)|CONSTRUCTOR_ENTRY|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:30:12.575 (575115342)|CONSTRUCTOR_EXIT|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:30:12.575 (575550861)|CONSTRUCTOR_ENTRY|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:30:12.575 (575869686)|CONSTRUCTOR_EXIT|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:30:12.637 (637100502)|CONSTRUCTOR_ENTRY|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:30:12.637 (637580396)|CONSTRUCTOR_EXIT|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:30:12.666 (666637346)|CONSTRUCTOR_ENTRY|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:30:12.667 (667005238)|CONSTRUCTOR_EXIT|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
*** Skipped 2599495 bytes of detailed log
21:30:13.450 (1450452789)|VARIABLE_SCOPE_BEGIN|[7]|key|String|false|false
21:30:13.450 (1450480006)|VARIABLE_ASSIGNMENT|[7]|key|"usershare"
21:30:13.450 (1450484684)|STATEMENT_EXECUTE|[7]
21:30:13.450 (1450487334)|STATEMENT_EXECUTE|[9]
21:30:13.450 (1450527370)|VARIABLE_SCOPE_BEGIN|[9]|objType|Schema.SObjectType|true|false
21:30:13.450 (1450582150)|VARIABLE_ASSIGNMENT|[9]|objType|"common.apex.runtime.impl.ApexSObjectTypeToken@7dc49945"|0x7dc49945
21:30:13.450 (1450590483)|STATEMENT_EXECUTE|[10]
21:30:13.450 (1450729180)|HEAP_ALLOCATE|[10]|Bytes:4
21:30:13.450 (1450755700)|HEAP_ALLOCATE|[10]|Bytes:10
21:30:13.450 (1450761922)|VARIABLE_SCOPE_BEGIN|[10]|objectName|String|false|false
21:30:13.450 (1450773269)|VARIABLE_ASSIGNMENT|[10]|objectName|"User Share"
21:30:13.450 (1450793710)|HEAP_ALLOCATE|[13]|Bytes:4
21:30:13.450 (1450994932)|HEAP_ALLOCATE|[13]|Bytes:36
21:30:13.451 (1451042412)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:36
21:30:13.451 (1451059371)|HEAP_ALLOCATE|[13]|Bytes:36
21:30:13.451 (1451095329)|HEAP_ALLOCATE|[13]|Bytes:5
21:30:13.451 (1451112985)|VARIABLE_SCOPE_BEGIN|[13]|field|Schema.SObjectField|true|false
21:30:13.451 (1451166277)|VARIABLE_ASSIGNMENT|[13]|field|"common.apex.runtime.impl.ApexFieldToken@467e863b"|0x467e863b
21:30:13.451 (1451174495)|STATEMENT_EXECUTE|[13]
21:30:13.451 (1451177144)|STATEMENT_EXECUTE|[14]
21:30:13.451 (1451865521)|HEAP_ALLOCATE|[14]|Bytes:4
21:30:13.451 (1451901707)|HEAP_ALLOCATE|[14]|Bytes:12
21:30:13.451 (1451909086)|VARIABLE_SCOPE_BEGIN|[14]|fieldType|Schema.DisplayType|true|false
21:30:13.451 (1451925354)|VARIABLE_ASSIGNMENT|[14]|fieldType|"ID"|0x1e0498cd
21:30:13.451 (1451978594)|STATEMENT_EXECUTE|[15]
21:30:13.451 (1451994956)|HEAP_ALLOCATE|[13]|Bytes:5
21:30:13.452 (1452012132)|VARIABLE_SCOPE_BEGIN|[13]|field|Schema.SObjectField|true|false
21:30:13.452 (1452066038)|VARIABLE_ASSIGNMENT|[13]|field|"common.apex.runtime.impl.ApexFieldToken@675ba075"|0x675ba075
21:30:13.452 (1452074393)|STATEMENT_EXECUTE|[13]
21:30:13.452 (1452076833)|STATEMENT_EXECUTE|[14]
21:30:13.452 (1452194994)|HEAP_ALLOCATE|[14]|Bytes:4
21:30:13.452 (1452229174)|HEAP_ALLOCATE|[14]|Bytes:12
21:30:13.452 (1452236281)|VARIABLE_SCOPE_BEGIN|[14]|fieldType|Schema.DisplayType|true|false
