34.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
21:23:37.200 (200843093)|EXECUTION_STARTED
21:23:37.200 (200852916)|CODE_UNIT_STARTED|[EXTERNAL]|execute_anonymous_apex
21:23:37.223 (223126187)|METHOD_ENTRY|[1]|01p61000006ZOEc|CurrencyBot.CurrencyBot()
21:23:37.223 (223271700)|METHOD_EXIT|[1]|CurrencyBot
21:23:37.223 (223364207)|CONSTRUCTOR_ENTRY|[25]|01p61000006ZOEc|<init>()
21:23:37.232 (232410554)|METHOD_ENTRY|[1]|01p61000006ZOEm|DataBot.DataBot()
21:23:37.232 (232433160)|METHOD_EXIT|[1]|DataBot
21:23:37.232 (232467436)|METHOD_ENTRY|[8]|01p61000006ZOEm|DataBot.getTuplesForType(Schema.DisplayType)
21:23:37.469 (469261303)|METHOD_ENTRY|[1]|01p61000006ZOEr|DataBotObjectFieldTuple.DataBotObjectFieldTuple()
21:23:37.469 (469283865)|METHOD_EXIT|[1]|DataBotObjectFieldTuple
21:23:37.469 (469325175)|CONSTRUCTOR_ENTRY|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:23:37.469 (469723448)|CONSTRUCTOR_EXIT|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:23:37.519 (519129473)|CONSTRUCTOR_ENTRY|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:23:37.519 (519505294)|CONSTRUCTOR_EXIT|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:23:37.526 (526033279)|CONSTRUCTOR_ENTRY|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:23:37.526 (526360954)|CONSTRUCTOR_EXIT|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:23:37.773 (773984585)|CONSTRUCTOR_ENTRY|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:23:37.774 (774347689)|CONSTRUCTOR_EXIT|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:23:37.774 (774904668)|CONSTRUCTOR_ENTRY|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:23:37.775 (775217500)|CONSTRUCTOR_EXIT|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:23:37.775 (775746394)|CONSTRUCTOR_ENTRY|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:23:37.776 (776060328)|CONSTRUCTOR_EXIT|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:23:37.779 (779561733)|CONSTRUCTOR_ENTRY|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:23:37.779 (779884712)|CONSTRUCTOR_EXIT|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:23:37.780 (780378089)|CONSTRUCTOR_ENTRY|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:23:37.780 (780694740)|CONSTRUCTOR_EXIT|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:23:37.782 (782867177)|CONSTRUCTOR_ENTRY|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:23:37.783 (783187422)|CONSTRUCTOR_EXIT|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:23:37.783 (783683519)|CONSTRUCTOR_ENTRY|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:23:37.784 (784001632)|CONSTRUCTOR_EXIT|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:23:37.784 (784821325)|CONSTRUCTOR_ENTRY|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:23:37.785 (785135460)|CONSTRUCTOR_EXIT|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:23:37.785 (785623611)|CONSTRUCTOR_ENTRY|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:23:37.785 (785942423)|CONSTRUCTOR_EXIT|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:23:37.786 (786423792)|CONSTRUCTOR_ENTRY|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:23:37.786 (786739068)|CONSTRUCTOR_EXIT|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:23:37.865 (865791240)|CONSTRUCTOR_ENTRY|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:23:37.866 (866158157)|CONSTRUCTOR_EXIT|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:23:37.999 (999259598)|CONSTRUCTOR_ENTRY|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:23:37.999 (999607260)|CONSTRUCTOR_EXIT|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:23:38.062 (1062893920)|CONSTRUCTOR_ENTRY|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:23:38.063 (1063261224)|CONSTRUCTOR_EXIT|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:23:38.064 (1064168839)|CONSTRUCTOR_ENTRY|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:23:38.064 (1064503302)|CONSTRUCTOR_EXIT|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:23:38.133 (1133502538)|CONSTRUCTOR_ENTRY|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:23:38.133 (1133870936)|CONSTRUCTOR_EXIT|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:23:38.134 (1134383638)|CONSTRUCTOR_ENTRY|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:23:38.134 (1134724982)|CONSTRUCTOR_EXIT|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:23:38.155 (1155335348)|CONSTRUCTOR_ENTRY|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:23:38.155 (1155667304)|CONSTRUCTOR_EXIT|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:23:38.156 (1156247423)|CONSTRUCTOR_ENTRY|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:23:38.156 (1156559803)|CONSTRUCTOR_EXIT|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:23:38.157 (1157082504)|CONSTRUCTOR_ENTRY|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:23:38.157 (1157394273)|CONSTRUCTOR_EXIT|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:23:38.157 (1157880038)|CONSTRUCTOR_ENTRY|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:23:38.158 (1158184977)|CONSTRUCTOR_EXIT|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:23:38.304 (1304410317)|CONSTRUCTOR_ENTRY|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:23:38.304 (1304764650)|CONSTRUCTOR_EXIT|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:23:38.365 (1365780144)|CONSTRUCTOR_ENTRY|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:23:38.366 (1366128036)|CONSTRUCTOR_EXIT|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
*** Skipped 2799422 bytes of detailed log
21:23:40.162 (3162040122)|VARIABLE_SCOPE_BEGIN|[13]|field|Schema.SObjectField|true|false
21:23:40.162 (3162107004)|VARIABLE_ASSIGNMENT|[13]|field|"common.apex.runtime.impl.ApexFieldToken@6bb2f0bd"|0x6bb2f0bd
21:23:40.162 (3162113906)|STATEMENT_EXECUTE|[13]
21:23:40.162 (3162116102)|STATEMENT_EXECUTE|[14]
21:23:40.162 (3162193576)|HEAP_ALLOCATE|[14]|Bytes:4
21:23:40.162 (3162223805)|HEAP_ALLOCATE|[14]|Bytes:12
21:23:40.162 (3162229894)|VARIABLE_SCOPE_BEGIN|[14]|fieldType|Schema.DisplayType|true|false
21:23:40.162 (3162245530)|VARIABLE_ASSIGNMENT|[14]|fieldType|"BOOLEAN"|0x6e137ae6
21:23:40.162 (3162292526)|STATEMENT_EXECUTE|[15]
21:23:40.162 (3162308131)|HEAP_ALLOCATE|[13]|Bytes:5
21:23:40.162 (3162324316)|VARIABLE_SCOPE_BEGIN|[13]|field|Schema.SObjectField|true|false
21:23:40.162 (3162375379)|VARIABLE_ASSIGNMENT|[13]|field|"common.apex.runtime.impl.ApexFieldToken@59c0ccbe"|0x59c0ccbe
21:23:40.162 (3162382208)|STATEMENT_EXECUTE|[13]
21:23:40.162 (3162384357)|STATEMENT_EXECUTE|[14]
21:23:40.162 (3162477420)|HEAP_ALLOCATE|[14]|Bytes:4
21:23:40.162 (3162509903)|HEAP_ALLOCATE|[14]|Bytes:12
21:23:40.162 (3162516345)|VARIABLE_SCOPE_BEGIN|[14]|fieldType|Schema.DisplayType|true|false
21:23:40.162 (3162531447)|VARIABLE_ASSIGNMENT|[14]|fieldType|"STRING"|0x27838554
21:23:40.162 (3162577848)|STATEMENT_EXECUTE|[15]
21:23:40.162 (3162593402)|HEAP_ALLOCATE|[13]|Bytes:5
21:23:40.162 (3162609007)|VARIABLE_ASSIGNMENT|[13]|field|null|
21:23:40.162 (3162622035)|HEAP_ALLOCATE|[7]|Bytes:5
