34.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
21:55:38.049 (49118315)|EXECUTION_STARTED
21:55:38.049 (49128111)|CODE_UNIT_STARTED|[EXTERNAL]|execute_anonymous_apex
21:55:38.050 (50592406)|METHOD_ENTRY|[1]|01p61000006ZOEc|CurrencyBot.CurrencyBot()
21:55:38.050 (50793525)|METHOD_EXIT|[1]|CurrencyBot
21:55:38.050 (50873439)|CONSTRUCTOR_ENTRY|[25]|01p61000006ZOEc|<init>()
21:55:38.052 (52332953)|METHOD_ENTRY|[1]|01p61000006ZOEm|DataBot.DataBot()
21:55:38.052 (52361249)|METHOD_EXIT|[1]|DataBot
21:55:38.052 (52389040)|METHOD_ENTRY|[8]|01p61000006ZOEm|DataBot.getTuplesForType(Schema.DisplayType)
21:55:38.184 (184273849)|METHOD_ENTRY|[1]|01p61000006ZOEr|DataBotObjectFieldTuple.DataBotObjectFieldTuple()
21:55:38.184 (184307993)|METHOD_EXIT|[1]|DataBotObjectFieldTuple
21:55:38.184 (184350864)|CONSTRUCTOR_ENTRY|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:55:38.194 (194235934)|CONSTRUCTOR_EXIT|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:55:38.214 (214173408)|CONSTRUCTOR_ENTRY|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:55:38.214 (214494961)|CONSTRUCTOR_EXIT|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:55:38.216 (216017785)|CONSTRUCTOR_ENTRY|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:55:38.216 (216335832)|CONSTRUCTOR_EXIT|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:55:38.349 (349169454)|CONSTRUCTOR_ENTRY|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:55:38.349 (349524563)|CONSTRUCTOR_EXIT|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:55:38.350 (350002631)|CONSTRUCTOR_ENTRY|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:55:38.350 (350316168)|CONSTRUCTOR_EXIT|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:55:38.350 (350783396)|CONSTRUCTOR_ENTRY|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
21:55:38.351 (351103495)|CONSTRUCTOR_EXIT|[18]|01p61000006ZOEr|<init>(Schema.SObjectType,Schema.SObjectField)
